mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Forest Hills,place-forhl,0,26564,54,0,492,0,762
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Green Street,place-grnst,44,9232,54,1,171,490,763
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Haymarket,place-haecl,5176,1411,54,96,26,893,764
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Jackson Square,place-jaksn,939,14228,54,17,263,851,765
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Malden Center,place-mlmnl,4503,257,54,83,5,119,766
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Massachusetts Avenue,place-masta,7573,6057,54,140,112,1293,767
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,North Station,place-north,21254,3284,54,394,61,782,768
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Oak Grove,place-ogmnl,1907,0,54,35,0,35,769
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Roxbury Crossing,place-rcmnl,2460,8099,54,46,150,1096,770
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Ruggles,place-rugg,2158,7990,54,40,148,1200,771
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,State,place-state,12503,10513,54,232,195,960,772
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Stony Brook,place-sbmnl,423,11630,54,8,215,648,773
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Sullivan Square,place-sull,6218,1171,54,115,22,400,774
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Tufts Medical Center,place-tumnl,4680,4482,54,87,83,1205,775
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Wellington,place-welln,3229,322,54,60,6,177,776
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Assembly,place-astao,954,84,54,18,2,57,777
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Back Bay,place-bbsta,1877,1568,54,35,29,257,778
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Chinatown,place-chncl,1599,384,54,30,7,245,779
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Community College,place-ccmnl,546,139,54,10,3,83,780
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Downtown Crossing,place-dwnxg,4933,2005,54,91,37,220,781
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Forest Hills,place-forhl,0,7728,54,0,143,0,782
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Jackson Square,place-jaksn,731,273,54,14,5,59,783
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Malden Center,place-mlmnl,67,8483,54,1,157,108,784
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Massachusetts Avenue,place-masta,1522,382,54,28,7,99,785
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,North Station,place-north,3830,1343,54,71,25,294,786
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Oak Grove,place-ogmnl,0,5939,54,0,110,0,787
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Roxbury Crossing,place-rcmnl,703,249,54,13,5,71,788
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Ruggles,place-rugg,547,195,54,10,4,77,789
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,State,place-state,2436,5274,54,45,98,233,790
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Stony Brook,place-sbmnl,294,169,54,5,3,44,791
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Sullivan Square,place-sull,594,5058,54,11,94,279,792
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Tufts Medical Center,place-tumnl,1312,333,54,24,6,172,793
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Wellington,place-welln,198,3031,54,4,56,221,794
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,SAT_OFF_PEAK,Assembly,place-astao,9269,36852,12,772,3071,8297,795
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,SAT_OFF_PEAK,Back Bay,place-bbsta,45373,25932,12,3781,2161,13763,796
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,SAT_OFF_PEAK,Chinatown,place-chncl,22885,14570,12,1907,1214,15376,797
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,SAT_OFF_PEAK,Community College,place-ccmnl,4000,12681,12,333,1057,12646,798
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,SAT_OFF_PEAK,Downtown Crossing,place-dwnxg,50681,52592,12,4223,4383,15211,799
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,SAT_OFF_PEAK,Forest Hills,place-forhl,54193,0,12,4516,0,4516,800
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Alewife,place-alfcl,3395,0,48,71,0,71,801
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Andrew,place-andrw,3460,7940,48,72,165,1394,802
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Ashmont,place-asmnl,0,11975,48,0,249,0,803
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Braintree,place-brntn,0,4703,48,0,98,0,804
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Broadway,place-brdwy,3241,5466,48,68,114,1455,805
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Central,place-cntsq,11317,4141,48,236,86,868,806
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Charles/MGH,place-chmnl,7435,3063,48,155,64,1148,807
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Davis,place-davis,6542,324,48,136,7,206,808
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Downtown Crossing,place-dwnxg,19467,14525,48,406,303,1540,809
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Fields Corner,place-fldcr,522,13418,48,11,280,361,810
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Harvard,place-harsq,20520,2020,48,428,42,703,811
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,JFK/UMass,place-jfk,4630,11732,48,96,244,1313,812
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Kendall/MIT,place-knncl,10359,2826,48,216,59,1055,813
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,North Quincy,place-nqncy,735,6792,48,15,141,460,814
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Park Street,place-pktrm,30667,20070,48,639,418,1412,815
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Porter,place-portr,4900,429,48,102,9,303,816
